gold_table,gold_column,cat_json_field,cat_submission_file_type,cat_event_codes,data_type,required,max_length,description,verification_status
fact_order_events,price,price,OrderEvents,"MENO,MEOR,MEMR,MEOM,MEOT",DECIMAL,N,18,Section 4.1 row 19: Limit or trade price,VERIFIED
fact_order_events,quantity,quantity,OrderEvents,"MENO,MEOR,MEMR,MEOM,MEOT",DECIMAL,Y,15,Section 4.1 row 20: Order or trade quantity,VERIFIED
fact_order_events,leaves_quantity,leavesQty,OrderEvents,"MEOM,MEOT",DECIMAL,N,15,Section 4.1 / 4.7 / 4.11.1: Open remaining quantity on the order,VERIFIED
fact_order_events,parent_order_id,parentOrderID,OrderEvents,"MENO,MEOM",STRING,N,64,Section 4.1: Parent order link for child-order linkage,VERIFIED
fact_order_events,min_qty,minQty,OrderEvents,"MENO,MEOR,MEMR,MEOM",DECIMAL,N,15,Section 4.1 row 21: Minimum quantity of an order to be executed,VERIFIED
fact_order_events,order_type,orderType,OrderEvents,"MENO,MEOR,MEMR,MEOM",STRING,Y,12,Section 4.1 row 22: Type of order being submitted,VERIFIED
fact_order_events,time_in_force,timeInForce,OrderEvents,"MENO,MEOR,MEMR,MEOM,MEOE",STRING,Y,3,Section 4.1 row 23: Time in Force,VERIFIED
fact_order_events,trading_session,tradingSession,OrderEvents,"MENO,MEOR,MEMR,MEOM,MEOE",STRING,Y,12,Section 4.1 row 24: Trading session(s) during which an order is eligible to trade,VERIFIED
fact_order_events,handling_instructions,handlingInstructions,OrderEvents,"MENO,MEOR,MEMR,MEOM",STRING,N,40,Section 4.1 row 25 / Section 4.3 row 28,VERIFIED
fact_order_events,cust_dsp_intr_flag,custDspIntrFlag,OrderEvents,MENO,BOOLEAN,N,1,Section 4.1 row 26: Customer/client display instruction flag,VERIFIED
fact_order_events,firm_designated_id,firmDesignatedID,OrderEvents,MENO,STRING,N,40,Section 2.4.2 / Appendix G: FDID of the account,VERIFIED
fact_order_events,account_holder_type,accountHolderType,OrderEvents,"MENO,MEOM",STRING,N,2,Section 4.1 row 28: Beneficial owner type,VERIFIED
fact_order_events,affiliate_flag,affiliateFlag,OrderEvents,"MENO,MEOR,MEMR",BOOLEAN,N,1,Section 4.1 row 29 / 4.3 row 26: Routing party is an affiliate of the IM,VERIFIED
fact_order_events,info_barrier_id,infoBarrierID,OrderEvents,"MENO,MEOR,MEOT",STRING,N,20,Section 4.1 row 30: Identifier of the information barrier (FINRA Rule 5320.02),VERIFIED
fact_order_events,negotiated_trade_flag,negotiatedTradeFlag,OrderEvents,MENO,BOOLEAN,Y,1,Section 4.1 row 32: True if the trade is a result of a negotiation,VERIFIED
fact_order_events,representative_ind,representativeInd,OrderEvents,MENO,STRING,N,4,Section 4.1 row 33: Indicates if the order is a representative order,VERIFIED
fact_order_events,seq_num,seqNum,OrderEvents,"MENO,MEOR,MEOT",STRING,N,40,Section 4.1 row 34: Sequence number assigned to the CAT event by the firm,VERIFIED
fact_order_events,ats_display_ind,atsDisplayInd,OrderEvents,MENO,STRING,N,4,Section 4.1 row 35: ATS display indicator,VERIFIED
fact_order_events,display_price,displayPrice,OrderEvents,MENO,DECIMAL,N,18,Section 4.1 row 36: Displayed price for this order,VERIFIED
fact_order_events,working_price,workingPrice,OrderEvents,MENO,DECIMAL,N,18,Section 4.1 row 37: Working price of the order,VERIFIED
fact_order_events,display_qty,displayQty,OrderEvents,MENO,DECIMAL,N,15,Section 4.1 row 38: Displayed quantity,VERIFIED
fact_order_events,nbb_price,nbbPrice,OrderEvents,"MENO,MEOT",DECIMAL,N,18,Section 4.1 row 40 / 4.11.1 row 26: National best bid price at moment of receipt or trade,VERIFIED
fact_order_events,nbb_qty,nbbQty,OrderEvents,"MENO,MEOT",DECIMAL,N,15,Section 4.1 row 41 / 4.11.1 row 27: NBB quantity,VERIFIED
fact_order_events,nbo_price,nboPrice,OrderEvents,"MENO,MEOT",DECIMAL,N,18,Section 4.1 row 42 / 4.11.1 row 28: NBO price,VERIFIED
fact_order_events,nbo_qty,nboQty,OrderEvents,"MENO,MEOT",DECIMAL,N,15,Section 4.1 row 43 / 4.11.1 row 29: NBO quantity,VERIFIED
fact_order_events,nbbo_source,nbboSource,OrderEvents,"MENO,MEOT",STRING,N,8,Section 4.1 row 44 / 4.11.1 row 30: Source of NBBO data,VERIFIED
fact_order_events,nbbo_timestamp,nbboTimestamp,OrderEvents,"MENO,MEOT",DATETIME,N,30,Section 4.1 row 45 / 4.11.1 row 31: Date/time NBBO was referenced,VERIFIED
fact_order_events,net_price,netPrice,OrderEvents,"MENO,MEOR",DECIMAL,N,18,Section 4.1 row 46: Net price of the order when tied to stock,VERIFIED
fact_order_events,bfmm_flag,BFMMFlag,OrderEvents,MENO,BOOLEAN,N,1,Section 4.1 row 47: Identifies if a Short Sale order event relies on the bona fide market making exception,VERIFIED
fact_order_events,originating_imid,originatingIMID,OrderEvents,"MEOR,MEMR,MECR,MEOA,MEOJ,MEOC,MEOM,MEOE",STRING,N,8,Section 4.3 row 9: Used in mergers/acquisitions where prior firm orders are still open,VERIFIED
fact_order_events,sender_imid,senderIMID,OrderEvents,"MEOR,MEMR,MECR",STRING,N,8,Section 4.3 row 14: The IMID actually sending the route,VERIFIED
fact_order_events,destination,destination,OrderEvents,"MEOR,MEMR,MECR",STRING,Y,8,Section 4.3 row 15: The destination IMID (or special value for foreign / non-CAT-reporting),VERIFIED
fact_order_events,destination_type,destinationType,OrderEvents,"MEOR,MEMR,MECR",STRING,Y,4,Section 4.3 row 16: Whether the destination is an exchange affiliated firm or other type,VERIFIED
fact_order_events,routed_order_id,routedOrderID,OrderEvents,"MEOR,MEMR",STRING,N,64,Section 4.3 row 17: ID assigned to the routed order by the IM,VERIFIED
fact_order_events,session,session,OrderEvents,"MEOR,MEMR",STRING,N,40,Section 4.3 row 18: Session ID used when routing the order,VERIFIED
fact_order_events,iso_ind,isoInd,OrderEvents,"MEOR,MEMR",STRING,N,4,Section 4.3 row 27: Intermarket Sweep Order indicator,VERIFIED
fact_order_events,route_rejected_flag,routeRejectedFlag,OrderEvents,"MEOR,MEORS,MEMR,MEMRS,MECR,MECRS",BOOLEAN,N,1,Section 4.3 row 29: True if the routed order was not accepted by the destination,VERIFIED
fact_order_events,multi_leg_ind,multiLegInd,OrderEvents,"MEOR,MEOT",BOOLEAN,N,1,Section 4.3 row 32 / 4.11.1 row 35: Order is related to a multi-leg order,VERIFIED
fact_order_events,paired_order_id,pairedOrderID,OrderEvents,MEOR,STRING,N,64,Section 4.3 row 33: Paired order identifier when reporting two related orders,VERIFIED
fact_order_events,quote_key_date,quoteKeyDate,OrderEvents,MEOR,DATETIME,N,30,Section 4.3 row 36: Date and time the quoteID was assigned,VERIFIED
fact_order_events,quote_id,quoteID,OrderEvents,MEOR,STRING,N,64,Section 4.3 row 37: Required for Order Route events reported in response to a quote,VERIFIED
fact_execution_events,trade_key_date,tradeKeyDate,OrderEvents,"MEOT,MEOTS",DATETIME,Y,30,Section 4.11.1 row 6: Date and time the tradeID was assigned,VERIFIED
fact_execution_events,trade_id,tradeID,OrderEvents,"MEOT,MEOTS",STRING,Y,64,Section 4.11.1 row 7: Unique ID for this execution assigned by the executing IM,VERIFIED
fact_execution_events,cancel_flag,cancelFlag,OrderEvents,"MEOT,MEOTS",BOOLEAN,N,1,Section 4.11.1 row 12: True if the execution was cancelled,VERIFIED
fact_execution_events,cancel_timestamp,cancelTimestamp,OrderEvents,"MEOT,MEOTS",DATETIME,N,30,Section 4.11.1 row 13: Time at which the cancellation occurred,VERIFIED
fact_execution_events,capacity,capacity,OrderEvents,"MEOT,MEOTS",STRING,Y,12,Section 4.11.1 row 18: Capacity in which the IM acted (PRINCIPAL/AGENT/etc),VERIFIED
fact_allocations,cancel_flag,cancelFlag,Allocations,"MEPA,MEAA",BOOLEAN,N,1,Section 4.13.1 row 10: True if the allocation was cancelled,VERIFIED
fact_allocations,cancel_timestamp,cancelTimestamp,Allocations,"MEPA,MEAA",DATETIME,N,30,Section 4.13.1 row 11: Time at which the allocation cancellation occurred,VERIFIED
fact_allocations,side,side,Allocations,"MEPA,MEAA",STRING,Y,8,Section 4.13.1 row 14: Side of customer/client receiving the allocation,VERIFIED
fact_allocations,price,price,Allocations,"MEPA,MEAA",DECIMAL,N,18,Section 4.13.1 row 13: Price of the allocated shares,VERIFIED
fact_allocations,quantity,quantity,Allocations,"MEPA,MEAA",DECIMAL,Y,15,Section 4.13.1 row 12: Quantity of the allocated shares,VERIFIED
fact_allocations,firm_designated_id,firmDesignatedID,Allocations,"MEPA,MEAA",STRING,Y,40,Section 4.13.1 row 15: FDID of the account receiving the allocation,VERIFIED
fact_allocations,account_holder_type,accountHolderType,Allocations,"MEPA,MEAA",STRING,N,2,Section 4.13.1 row 26 / 4.13.2 row 28: Beneficial owner type,VERIFIED
fact_execution_events,tape_trade_id,tapeTradeID,OrderEvents,"MEOT,MEOTS",STRING,N,40,Section 4.11.1 row 19: Unique tape identifier reported,VERIFIED
fact_execution_events,market_center_id,marketCenterID,OrderEvents,"MEOT,MEOTS",STRING,Y,4,Section 4.11.1 row 20: National securities exchange or transaction venue,VERIFIED
fact_execution_events,side_details_ind,sideDetailsInd,OrderEvents,"MEOT,MEOTS",STRING,N,4,Section 4.11.1 row 21: One-sided or two-sided trade indicator,VERIFIED
fact_execution_events,reporting_exception_code,reportingExceptionCode,OrderEvents,"MEOT,MEOTS",STRING,N,8,Section 4.11.1 row 24: Reason a unique identifier could not be reported,VERIFIED
fact_execution_events,clearing_firm,clearingFirm,OrderEvents,"MEOT,MEOTS",STRING,N,16,Section 4.11.1 row 33: Clearing number of the IM's clearing firm,VERIFIED
fact_execution_events,counterparty,counterparty,OrderEvents,"MEOT,MEOTS",STRING,N,8,Section 4.11.1 row 34: Counterparty IMID to the trade,VERIFIED
fact_allocations,allocation_key_date,allocationKeyDate,Allocations,"MEPA,MEAA,MOPA,MOAA",DATETIME,Y,30,Section 4.13.1 row 6: Date and time the allocationID was assigned,VERIFIED
fact_allocations,allocation_id,allocationID,Allocations,"MEPA,MEAA,MOPA,MOAA",STRING,Y,64,Section 4.13.1 row 7: Internal allocation ID assigned by the IM,VERIFIED
fact_allocations,prior_allocation_key_date,priorAllocationKeyDate,Allocations,"MEAA,MOAA",DATETIME,N,30,Section 4.13.2 row 8: Prior allocationKeyDate when a new allocationID is assigned,VERIFIED
fact_allocations,prior_allocation_id,priorAllocationID,Allocations,"MEAA,MOAA",STRING,N,64,Section 4.13.2 row 9: Prior allocationID,VERIFIED
fact_allocations,trade_date,tradeDate,Allocations,"MEPA,MEAA,MOPA,MOAA",DATE,N,10,Section 4.13.1 row 18: Trade date of the securities being allocated,VERIFIED
fact_allocations,settlement_date,settlementDate,Allocations,"MEPA,MEAA,MOPA,MOAA",DATE,N,10,Section 4.13.1 row 19: Settlement date,VERIFIED
fact_allocations,allocation_type,allocationType,Allocations,"MEPA,MEAA,MOPA,MOAA",STRING,N,8,Section 4.13.1 row 20: Type of allocation (e.g. DVP DVPF),VERIFIED
fact_allocations,dvp_custodian_id,DVPCustodianID,Allocations,"MEPA,MEAA",STRING,N,40,Section 4.13.1 row 21: Required when allocationType is DVP or DVPF,VERIFIED
fact_allocations,correspondent_crd,correspondentCRD,Allocations,"MEPA,MEAA",STRING,N,16,Section 4.13.1 row 22: CRD number of related Introducing Broker,VERIFIED
fact_allocations,new_order_fdid,newOrderFDID,Allocations,"MEPA,MEAA",STRING,N,40,Section 4.13.1 row 23: FDID of the related New Order event if available,VERIFIED
fact_allocations,allocation_instruction_time,allocationInstructionTime,Allocations,"MEPA,MEAA",DATETIME,N,30,Section 4.13.1 row 24: Date/time the allocation instruction was received,VERIFIED
fact_allocations,institution_flag,institutionFlag,Allocations,"MEPA,MEAA",BOOLEAN,N,1,Section 4.13.1 row 17: True if the account meets the institutional definition,VERIFIED
fact_quotes,quote_key_date,quoteKeyDate,OrderEvents,"MENQ,MENQS,MERQ,MERQS,MEQR,MEQC,MEQM,MEQS",DATETIME,Y,30,Section 4.10.1 row 6: Date and time the quoteID was assigned,VERIFIED
fact_quotes,quote_id,quoteID,OrderEvents,"MENQ,MENQS,MERQ,MERQS,MEQR,MEQC,MEQM,MEQS",STRING,Y,64,Section 4.10.1 row 7: Internal quote ID assigned to the quote by the IM,VERIFIED
fact_quotes,prior_quote_key_date,priorQuoteKeyDate,OrderEvents,MEQM,DATETIME,N,30,Section 4.10.7 row 9: Prior quoteKeyDate when a new quoteID is assigned,VERIFIED
fact_quotes,prior_quote_id,priorQuoteID,OrderEvents,MEQM,STRING,N,64,Section 4.10.7 row 10: Prior quoteID when a new quoteID is assigned,VERIFIED
fact_quotes,received_quote_id,receivedQuoteID,OrderEvents,MEQR,STRING,N,64,Section 4.10.5 row 9: Quote ID as received by the Industry Member internally,VERIFIED
fact_quotes,routed_quote_id,routedQuoteID,OrderEvents,"MERQ,MERQS",STRING,N,64,Section 4.10.3 row 13: Quote ID sent to the recipient,VERIFIED
fact_quotes,bid_price,bidPrice,OrderEvents,"MENQ,MERQ,MEQR,MEQM",DECIMAL,N,18,Section 4.10.1 row 17: Price being bid,VERIFIED
fact_quotes,bid_qty,bidQty,OrderEvents,"MENQ,MERQ,MEQR,MEQM",DECIMAL,N,15,Section 4.10.1 row 18: Quantity being bid,VERIFIED
fact_quotes,ask_price,askPrice,OrderEvents,"MENQ,MERQ,MEQR,MEQM",DECIMAL,N,18,Section 4.10.1 row 19: Price being asked,VERIFIED
fact_quotes,ask_qty,askQty,OrderEvents,"MENQ,MERQ,MEQR,MEQM",DECIMAL,N,15,Section 4.10.1 row 20: Quantity being asked,VERIFIED
fact_quotes,bid_relative_price,bidRelativePrice,OrderEvents,"MERQ,MEQM",STRING,N,40,Section 4.10.3: RFQ-only relative price for bid,VERIFIED
fact_quotes,ask_relative_price,askRelativePrice,OrderEvents,"MERQ,MEQM",STRING,N,40,Section 4.10.3: RFQ-only relative price for ask,VERIFIED
fact_quotes,valid_until_duration,validUntilDuration,OrderEvents,"MERQ,MEQM",DECIMAL,N,15,Section 4.10.3: RFQ-only duration in seconds,VERIFIED
fact_quotes,only_one_quote_flag,onlyOneQuoteFlag,OrderEvents,"MENQ,MEQR",BOOLEAN,N,1,Section 4.10.1 row 16: True if the recipient only allows one quote at a time per symbol,VERIFIED
fact_quotes,unsolicited_ind,unsolicitedInd,OrderEvents,"MENQ,MEQR,MEQM",STRING,N,4,Section 4.10.1 row 23: Indicates whether this is an unsolicited quote,VERIFIED
fact_quotes,unpriced_ind,unpricedInd,OrderEvents,"MENQ,MERQ,MEQR,MEQM",BOOLEAN,N,1,Section 4.10.1 row 26: True when the quote is unpriced,VERIFIED
fact_quotes,quote_wanted_ind,quoteWantedInd,OrderEvents,MEQR,STRING,N,4,Section 4.10.5 row 23: IDQS-only indicator that the quote message is a quote-wanted,VERIFIED
fact_quotes,representative_quote_ind,representativeQuoteInd,OrderEvents,"MENQ,MENQS",STRING,N,4,Section 4.10.1 row 29: ADF-only indicator that the quote represents customer/client orders,VERIFIED
fact_quotes,ask_aggregated_orders,askAggregatedOrders,OrderEvents,"MENQ,MENQS",STRING,N,4000,Section 4.10.1 row 30: ADF-only orderID list for asks (JSON-encoded array),VERIFIED
fact_quotes,bid_aggregated_orders,bidAggregatedOrders,OrderEvents,"MENQ,MENQS",STRING,N,4000,Section 4.10.1 row 31: ADF-only orderID list for bids (JSON-encoded array),VERIFIED
fact_quotes,quote_rejected_flag,quoteRejectedFlag,OrderEvents,"MERQ,MERQS",BOOLEAN,N,1,Section 4.10.3 row 18: True if the routed quote was rejected by destination,VERIFIED
fact_quotes,sender_imid,senderIMID,OrderEvents,"MERQ,MERQS,MEQR",STRING,N,8,Section 4.10.3 row 11: IMID of the IM sending the quote,VERIFIED
fact_quotes,destination,destination,OrderEvents,"MERQ,MERQS",STRING,Y,8,Section 4.10.3 row 12: Destination IMID,VERIFIED
fact_quotes,destination_type,destinationType,OrderEvents,"MERQ,MERQS",STRING,Y,4,Section 4.10.3 row 23: Whether the destination is exchange / affiliated firm / other,VERIFIED
fact_quotes,session,session,OrderEvents,"MERQ,MERQS",STRING,N,40,Section 4.10.3 row 24: IDQS/ADF-only session ID used when routing the quote,VERIFIED
fact_quotes,receiver_imid,receiverIMID,OrderEvents,MEQR,STRING,N,8,Section 4.10.5 row 12: IMID of the IM receiving the quote,VERIFIED
fact_quotes,initiator,initiator,OrderEvents,MEQC,STRING,Y,4,Section 4.10.6 row 13: Indicates who initiated the quote cancellation,VERIFIED
fact_quotes,mp_status_code,mpStatusCode,OrderEvents,MEQS,STRING,Y,4,Section 4.10.8 row 12: Market Participant Status Code,VERIFIED
fact_quotes,dup_roid_cond,dupROIDCond,OrderEvents,"MERQ,MEQR",BOOLEAN,N,1,Section 4.10.3 row 20 / 4.10.5 row 25: True when the quote event maintains the prior quote's ROE ID,VERIFIED
fact_quotes,rfq_id,RFQID,OrderEvents,"MENQ,MERQ,MEQR,MEQC,MEQM",STRING,N,64,Section 4.10.1 row 32: For quote events representing a response to an RFQ,VERIFIED
fact_quotes,originating_imid,originatingIMID,OrderEvents,"MEQC,MEQS",STRING,N,8,Section 4.10.6 row 9: Used in mergers/acquisitions where prior firm quotes are still open,VERIFIED
fact_option_order_events,option_id,optionID,OrderEvents,"MONO,MONOS,MOOR,MOMR,MOCR,MOORS,MOMRS,MOCRS,MOOA,MOIR,MOIM,MOIC,MOIMR,MOICR,MOCO,MOCOM,MOCOC,MOOM,MOOMS,MOOMR,MOOJ,MOOC,MOOCR,MOOE",STRING,Y,22,Section 5.1.1 row 8: 21-character OSI Symbol of the option (FLEX uses % prefix),VERIFIED
fact_option_order_events,order_key_date,orderKeyDate,OrderEvents,"MONO,MONOS,MOOR,MOMR,MOCR,MOORS,MOMRS,MOCRS,MOOA,MOIR,MOIM,MOIC,MOIMR,MOICR,MOCO,MOCOM,MOCOC,MOOM,MOOMS,MOOMR,MOOJ,MOOC,MOOCR,MOOE",DATETIME,Y,30,Section 5.1.1 row 6: Date and time the orderID was assigned,VERIFIED
fact_option_order_events,cat_order_id,orderID,OrderEvents,"MONO,MONOS,MOOR,MOMR,MOCR,MOORS,MOMRS,MOCRS,MOOA,MOIR,MOIM,MOIC,MOIMR,MOICR,MOCO,MOCOM,MOCOC,MOOM,MOOMS,MOOMR,MOOJ,MOOC,MOOCR,MOOE",STRING,Y,64,Section 5.1.1 row 7: Internal order ID assigned by the IM,VERIFIED
fact_option_order_events,event_timestamp,eventTimestamp,OrderEvents,"MONO,MOOR,MOMR,MOCR,MOOA,MOIR,MOIM,MOIC,MOIMR,MOICR,MOCO,MOCOM,MOCOC,MOOM,MOOMS,MOOMR,MOOJ,MOOC,MOOCR,MOOE",DATETIME,Y,30,Section 5.1.1 row 9: Date/time of the event,VERIFIED
fact_option_order_events,manual_flag,manualFlag,OrderEvents,"MONO,MOOR,MOMR,MOCR,MOOA,MOIR,MOOM,MOOJ,MOOC,MOOT",BOOLEAN,Y,1,Section 5.1.1 row 10: True if the order was handled manually,VERIFIED
fact_option_order_events,manual_order_key_date,manualOrderKeyDate,OrderEvents,"MONO,MOOR,MOOA,MOOM",DATETIME,N,30,Section 5.1.1 row 11: orderKeyDate of the related manual order,VERIFIED
fact_option_order_events,manual_order_id,manualOrderID,OrderEvents,"MONO,MOOR,MOOA,MOOM",STRING,N,64,Section 5.1.1 row 12: orderID of the related manual order,VERIFIED
fact_option_order_events,electronic_dup_flag,electronicDupFlag,OrderEvents,"MONO,MOOR,MOMR,MOCR,MOOA,MOIR,MOOM,MOOJ,MOOC",BOOLEAN,Y,1,Section 5.1.1 row 13: True if this is a duplicative electronic message of a manual event,VERIFIED
fact_option_order_events,electronic_timestamp,electronicTimestamp,OrderEvents,"MONO,MOOR,MOMR,MOCR,MOOA,MOIR,MOOM,MOOJ,MOOC,MOOT,MOOF,MOFA,MOPA,MOAA",DATETIME,N,30,Section 5.1.1 row 14: Time at which the manual event was systematized,VERIFIED
fact_option_order_events,dept_type,deptType,OrderEvents,"MONO,MOOA",STRING,Y,16,Section 5.1.1 row 15 / 5.1.4 row 19: Internal department / unit / desk,VERIFIED
fact_option_order_events,side,side,OrderEvents,"MONO,MOOR,MOMR,MOOA,MOOM,MOCO,MOOE,MOPA,MOAA",STRING,Y,8,Section 5.1.1 row 16: Side of the order,VERIFIED
fact_option_order_events,price,price,OrderEvents,"MONO,MOOR,MOMR,MOOA,MOOM,MOOJ,MOCO,MOOT,MOOF,MOFA,MOPA,MOAA,MOOE",DECIMAL,N,18,Section 5.1.1 row 17: Limit price of the order per contract,VERIFIED
fact_option_order_events,quantity,quantity,OrderEvents,"MONO,MOOR,MOMR,MOOA,MOOM,MOOJ,MOCO,MOOT,MOOF,MOFA,MOPA,MOAA,MOOE",DECIMAL,Y,15,Section 5.1.1 row 18: Quantity of contracts,VERIFIED
fact_option_order_events,min_qty,minQty,OrderEvents,"MONO,MOOR,MOOA,MOOM,MOOJ,MOCO,MOOE",DECIMAL,N,15,Section 5.1.1 row 19: Minimum quantity to be executed,VERIFIED
fact_option_order_events,order_type,orderType,OrderEvents,"MONO,MOOR,MOOA,MOOM,MOCO,MOOE",STRING,Y,12,Section 5.1.1 row 20: Type of order being submitted,VERIFIED
fact_option_order_events,time_in_force,timeInForce,OrderEvents,"MONO,MOOR,MOOA,MOOM,MOOJ,MOCO,MOOE",STRING,Y,3,Section 5.1.1 row 21: Time in Force,VERIFIED
fact_option_order_events,trading_session,tradingSession,OrderEvents,"MONO,MOOR,MOOA,MOOM,MOCO,MOOE",STRING,Y,12,Section 5.1.1 row 22: Trading session(s),VERIFIED
fact_option_order_events,handling_instructions,handlingInstructions,OrderEvents,"MONO,MOOR,MOOA,MOOM,MOCO",STRING,N,40,Section 5.1.1 row 23: Order handling instructions,VERIFIED
fact_option_order_events,firm_designated_id,firmDesignatedID,OrderEvents,MONO,STRING,N,40,Section 5.1.1 row 24: FDID of the account,VERIFIED
fact_option_order_events,account_holder_type,accountHolderType,OrderEvents,MONO,STRING,N,2,Section 5.1.1 row 25: Beneficial owner type,VERIFIED
fact_option_order_events,affiliate_flag,affiliateFlag,OrderEvents,"MONO,MOOR,MOMR,MOOA",BOOLEAN,N,1,Section 5.1.1 row 26: Routing party is an affiliate of the IM,VERIFIED
fact_option_order_events,solicitation_flag,solicitationFlag,OrderEvents,"MONO,MOOA",BOOLEAN,Y,1,Section 5.1.1 row 28: True if the order was originated in response to an RFQ or other solicitation,VERIFIED
fact_option_order_events,open_close_indicator,openCloseIndicator,OrderEvents,"MONO,MOOR,MOOA,MOOM,MOCO,MOOE",STRING,N,4,Section 5.1.1 row 29: Whether the buy/sell will open or close a position,VERIFIED
fact_option_order_events,representative_ind,representativeInd,OrderEvents,MONO,STRING,N,4,Section 5.1.1 row 30: Indicates if the order is a combined order,VERIFIED
fact_option_order_events,rfq_id,RFQID,OrderEvents,"MONO,MOOR,MOOA,MOOM,MOOC",STRING,N,64,Section 5.1.1 row 32: For quote events responding to an RFQ,VERIFIED
fact_option_order_events,net_price,netPrice,OrderEvents,"MONO,MOOR,MOOA,MOOM,MOOJ,MOCO,MOOE",DECIMAL,N,18,Section 5.1.1 row 33: Net price when tied to stock or fixed,VERIFIED
fact_option_order_events,exch_origin_code,exchOriginCode,OrderEvents,MOOR,STRING,N,4,Section 5.1.3 row 28: Code signifying the origin of the account as sent to the exchange,VERIFIED
fact_option_order_events,sender_imid,senderIMID,OrderEvents,"MOOR,MOMR,MOCR,MOOA,MOOM",STRING,N,8,Section 5.1.3 row 14: IMID of the IM sending the route,VERIFIED
fact_option_order_events,destination,destination,OrderEvents,"MOOR,MOMR,MOCR",STRING,Y,8,Section 5.1.3 row 15: Destination IMID,VERIFIED
